id,codigo,descripcion,marca,precio_actual,precio_actualizado
35776,ADE-83,FUNDA CUBREAUTO ORIG CLIO/SANDERO/LOGAN/SYMBOL,RN,"51306,7","59002,71"
35777,ADE-86,ALFOMBRA PISO HABITACULO ORIG,RN,"153418,0","176430,7"
35778,ADE-88,CUBRE ALFOMBRA 4 PIEZAS - ORIG,RN,"148192,0","170420,8"
35779,ADE-89,CUBRE ALFOMBRA CAUCHO BC5 ORIG,RN,"148192,0","170420,8"
35780,ADE-94O,COBERTOR ORIG FLUENCE,RN,"3672,0","4222,8"
35781,ADE-97,TRIANGULO BALIZA SEÑALIZACION ORIG,RN,"20906,0","24041,9"
35782,ADE-98,"FUNDA CUBRE AUTO ""S"" ORIGINAL VEHICULOS CHICOS",RN,"51306,7","59002,71"
35783,R000008---          ,FICHA 5 VIAS P/MINI RELAY AEREO (FICHA),RN,"3956,0","4549,4"
35784,R000009---          ,FICHA 4 VIAS P/RELAY (10mm) (FICHA),RN,"6460,0","7429,0"
35785,R000013---,FICHA 2 VIAS BOBINA ENCENDIDO LAPIZ RENAULT,RN,"4328,1","4977,32"
35786,R000050--O,BATERIA 50AH ORIGINAL RENAULT,RN,"199212,0","229093,8"
35787,R000065--O,BATERIA 65AH 720 AL B3 ORIG FLUENCE,RN,"219273,0","252163,95"
35788,9999005L            ,CAJA DIRECCION RENAULT 9/11 87/  M/NUEVO**,RN,"222313,0","255659,95"
35789,UNIV179,CABLE TOMA AIRE UNIVERSAL 179 4.00 MTS,RN,"10227,0","11761,05"
35790,R0001002C           ,KIT LARA BULON + JUNTA TAPA CIL K4M 1.6 16v,RN,"125288,75","144082,06"
35791,R0001002D           ,KIT LARA BULON + JUNTA DERCARB. K4M 1.6 16v,RN,"168156,71","193380,22"
35792,R0001004M           ,KIT LARA BOBINAS + BUJIA K4M,RN,"226650,36","260647,91"
35793,R0001005BB          ,KIT LARA CABLES + BUJIAS K7M,RN,"46408,12","53369,34"
35794,R0001005M           ,KIT LARA CABLES + BUJIAS K7M,RN,"51649,39","59396,8"
35795,R0001008M           ,KIT LARA FILTROS MOTOR K4M (MAHLE),RN,"29750,08","34212,59"
35796,R0001010C           ,KIT LARA BUJES TREN DELANTERO KANGOO/ CLIO II,RN,"67593,54","77732,57"
35797,R0001011L           ,KIT LARA BUJES TREN DEL. KANGOO/CLIOII CON BIELETA,RN,"58007,19","66708,27"
35798,R0001803M-A         ,KIT LARA DEPOSITO + TAPA R19/CLIO/TRAF/EXP,RN,"17322,29","19920,63"
35799,R0005001--          ,BARRERO (JGO X 2) DEL/TRAS.AUTOS RENAULT,RN,"6503,92","7479,51"
35800,R00050011O,BARRERO TRAS DER ORIG MEG/SCENIC,RN,"26180,0","30107,0"
35801,R00050012O,BARRERO DEL IZQ ORIG MASTER II,RN,"11411,0","13122,65"
35802,R00050014O,JGO BARRERO DEL/TRAS ORIG KANGOO,RN,"22368,0","25723,2"
35803,R00050017O,JUEGO BARREROS DEL ORIG MASTER III,RN,"57465,1","66084,87"
35804,R0005002-O,JGO BARRERO TRAS ORIG LOG/SAND,RN,"15767,0","18132,05"
35805,R0005003--          ,BARRERO (JGO X 2) DEL/TRAS TRAFIC,RN,"15326,28","17625,22"
35806,R0005006-O,BARRERO TRAS DER ORIG MASTER II,RN,"122512,0","140888,8"
35807,R0005007-O,BARRERO DELANTERO ORIGINAL MEGANE II,RN,"4822,0","5545,3"
35808,R0005011-O,PASARELA (ACERO) PORTAEQUIPAJE ORIG MASTER III,RN,"346612,0","398603,8"
35809,R0005015-O,PASARELA ACERO (H1/H2-L1) ORIGINAL MASTER III,RN,"146946,0","168987,9"
35810,R00070001O,REGLA TILIO (ixell) ORIG,RN,"4493,0","5166,95"
35811,R00070004O,CABALLETE MULTIF (ixell) ORIG,RN,"207525,0","238653,75"
35812,R00070013O,AGITAD AEML 1L (ixell) ORIG,RN,"33932,0","39021,8"
35813,R00070014O,AGUJA PASACABLES (ixell) ORIG,RN,"23706,0","27261,9"
35814,R00070015O,BURLETE 19 (ixell) ORIG,RN,"32019,0","36821,85"
35815,R00070018O,DISCO FIB 115 SB (ixell) ORIG,RN,"13106,0","15071,9"
35816,R0007001-O,BORNE (+) BATERIA ORIG LAGUNA II,RN,"8411,0","9672,65"
35817,R00070020O,GEL FIJ. P/REPAR.VIDRIOS (ixell) ORIG,RN,"6214,0","7146,1"
35818,R00070021O,MJ PRO.NEGRA (ixell) ORIG,RN,"26069,0","29979,35"
35819,R00070022O,PAPEL ENCOLADO 40GR (ixell) ORIG,RN,"56660,8","65159,92"
35820,R00070023O,ROLLO DE PELICULA SOLAR (ixell)ORIG,RN,"274202,0","315332,3"
35821,R00070024O,ROLLO FILM SEGUR 400 MIL (ixell) ORIG,RN,"425689,0","489542,35"
35822,R00070027O,VENTURI X2 + PIE (ixell) ORIG,RN,"105400,0","121210,0"
35823,R00070028O,AISLAMIENTO DEL EXTRACTOR DE AIRE D ORIG **,RN,"37291,1","42884,77"
35824,R00070029O,AROS 1 PISTON ORIG **,RN,"49703,0","57158,45"
35825,R00070031O,COLIZA EXT DEL DER ORIG CLIO,RN,"3304,0","3799,6"
35826,R00070032O,BURLETE LAT VANO MOTOR  ORIG CLIO,RN,"2352,0","2704,8"
35827,R00070034O,CARTER CON ELEV PH1 ORIG **,RN,"27022,0","31075,3"
35828,R00070036O,JUEGO ARTICULACION ASIENTOS ORIGINAL VARIOS,RN,"1342,0","1543,3"
35829,R00070037O,COLECCION PI FIX ORIG **,RN,"38901,8","44737,07"
35830,R00070038O,COLECCION PI FIX ORIG **,RN,"38901,8","44737,07"
35831,R0007003-O,TAPA PLAST BORNE (+) BATERIA ORIG LOGAN / SANDERO,RN,"3393,0","3901,95"
35832,R00070042O,ESCUADRA SOPORTE A BLOQUE ORIG **,RN,"5259,0","6047,85"
35833,R00070047O,EXTINTOR 2 KG MANO ORIG,RN,"15954,0","18347,1"
35834,R00070048O,EXTINTOR FUEGO ORIG,RN,"1756,0","2019,4"
35835,R00070049O,EXTINTOR FUEGO ORIG,RN,"7588,0","8726,2"
35836,R00070052O,PANTALLA FRONTAL ORIG **,RN,"294805,0","339025,75"
35837,R00070053O,PEDESTAL ASTO.DEL.IZQ. ORIG **,RN,"35498,4","40823,16"
35838,R00070055O,PINZA DEL DER ORIG **,RN,"167749,0","192911,35"
35839,R00070059O,TRANSILUMINADO ORIG SYMBOL **,RN,"8774,0","10090,1"
35840,R0007005-O,CABLE MASA NEGATIVO BATERIA ORIG VARIOS,RN,"25211,0","28992,65"
35841,R00070061O,PORTACD CUERO ECOLOGICO ORIG **,RN,"5718,0","6575,7"
35842,R00070063O,PANEL PTA DEL DR NKG ORIG **,RN,"67681,6","77833,84"
35843,R00070067O,VAINA TERMOCONTRAIBLE MASO CABLES ORIG X 20 ROJO,RN,"12701,0","14606,15"
35844,R00070069O,ETIQUETA DE PLASTICO AUTOADHESIVA ORIG **,RN,"32775,0","37691,25"
35845,R00070073O,PROTECTOR AUTOADHESIVO TAPIZADO ORIG LAGUNA II,RN,"3414,76","3926,97"
35846,R00070075O,RETEN RESPALDO ASIENTO TRAS ORIG MEGANE II,RN,"8324,0","9572,6"
35847,R00070079O,CAMISA PISTON CLASE C ORIG CLIO II,RN,"69330,8","79730,42"
35848,R00070080O,CABLE (-) BATERIA ORIG LAGUNA,RN,"21936,0","25226,4"
35849,R00070083O,AROS PISTON (G9U) ORIG MASTER II,RN,"60396,0","69455,4"
35850,R00070086O,CALCOMANIA TAPA TANQUE COMBUSTIBLE S/PLOMO ORIG,RN,"599,0","688,85"
35851,R00070089O,LIMPIA INYECTORES JET-KLYN ORIG,RN,"11716,0","13473,4"
35852,R00070090O,ABSORBEDOR ACUSTICO TABLERO ORIG LOGAN/SANDERO II,RN,"12469,0","14339,35"
35853,R00070094O,AISLAMIENTO BAJO VOLANTE ORIG KANGOO DOKKER,RN,"2291,0","2634,65"
35854,R00070095O,ABSORBEDOR TABLERO BAJO CDC ORIG LOGAN/SANDERO II,RN,"10968,0","12613,2"
35855,R00070097O,ROLLO PAPEL POLARIZADO ANTIBANDALICO ORIG,RN,"522131,0","600450,65"
35856,R00070098O,LIQUIDO CERA LUSTRE ORIG,RN,"26865,0","30894,75"
35857,R00070099O,PROTECTOR PINTURA ANTICORROSIVO ORIG  500ML,RN,"14284,0","16426,6"
35858,R00070103O,CALCO CARROCERIA ORIG GRIS CLIO II  5PTAS,RN,"35654,5","41002,68"
35859,R00070122O,RADIADOR CALEFACCION ORIG ALASKAN,RN,"243578,0","280114,7"
35860,R00070125O,CONJUNTO VIDRIO PTA TRAS DER ORIG,RN,"43374,8","49881,02"
35861,R00070126O,PARASOL DER C/ESPEJO ORIG ALASKAN,RN,"52292,8","60136,72"
35862,R00070129O,MOLDURA GRILLA BAJO PARABRISAS ORIG DUSTER,RN,"154888,0","178121,2"
35863,R00070130O,KIT REPARACION FIJACION PORTON TRA ORIG DUSTER,RN,"11389,0","13097,35"
35864,R00070131O,HERRAMIENTA EXTRACION STEREO ORIG VARIOS,RN,"1678,54","1930,32"
35865,R00070132O,BASE REF CERRADURA CAPOT ORIG MASTER III,RN,"1938,01","2228,71"
35866,R00070134O,CONJUNTO BLOQ M/ATRAS (JR5) K9K ORIG LOGAN/SANDERO,RN,"7648,87","8796,2"
35867,R10305110C,RETEN BANC. TWINGO 1.2  CLIO2  06/ *82029611,RN,"43844,07","50420,68"
35868,R10305120C,RETEN BANC. C/PORTA  MASTER 2.3 16V *82036732,RN,"168571,55","193857,28"
35869,R1030514RC,RETEN BANC. KAN/ CLIO 2/LOG/SAND/SYM *82015352,RN,"47024,12","54077,74"
35870,R10308513C,RETEN ARB. DE LEVAS CLIOII/KANGOO *82018754,RN,"25227,74","29011,9"
35871,R10308517C,RETEN ARB. DE LEVAS ESC. DUS/MEG/SC/FLU *82027969,RN,"41408,29","47619,53"
35872,R10308519C,RETEN ARB. DE LEVAS ADM.DUST/MEGA/FLU *82018287,RN,"42336,2","48686,63"
35873,R10308521C,RETEN DEL. CIGUEÑAL  MASTER 2.5 16V *82085509,RN,"45525,92","52354,81"
35874,R1030852-C,RETEN DISTRIB. TWINGO/CLIO 2/MIO *82029612,RN,"40934,66","47074,86"
