id,codigo,descripcion,proveedor,precio_actual,precio_actualizado
46620,2JH0255,JUNTA HOMOCINETICA,AutoRepuestos Express,"73653,89","95750,06"
46621,2JH0257,JUNTA HOMOCINETICA,AutoRepuestos Express,"59067,51","76787,76"
46622,2JH0274,JUNTA HOMOCINETICA,AutoRepuestos Express,"76226,61","99094,59"
46623,2JH0281,JUNTA HOMOCINETICA,AutoRepuestos Express,"71428,44","92856,97"
46624,2JH0282,JUNTA HOMOCINETICA,AutoRepuestos Express,"72382,22","94096,89"
46625,2JH0288,JUNTA HOMOCINETICA,AutoRepuestos Express,"65471,05","85112,37"
46626,2JH0296,JUNTA HOMOCINETICA,AutoRepuestos Express,"81565,05","106034,57"
46627,2JH0298,JUNTA HOMOCINETICA,AutoRepuestos Express,"57255,87","74432,63"
46628,2JH0299,JUNTA HOMOCINETICA,AutoRepuestos Express,"66863,35","86922,36"
46629,2JH0301,JUNTA HOMOCINETICA,AutoRepuestos Express,"69436,75","90267,78"
46630,2JH0304,JUNTA HOMOCINETICA,AutoRepuestos Express,"68413,17","88937,12"
46631,2JH0305,JUNTA HOMOCINETICA,AutoRepuestos Express,"83948,19","109132,65"
46632,2JH0308,JUNTA HOMOCINETICA,AutoRepuestos Express,"63837,52","82988,78"
46633,2JH0310,JUNTA HOMOCINETICA,AutoRepuestos Express,"77655,16","100951,71"
46634,2JH0324,JUNTA HOMOCINETICA,AutoRepuestos Express,"56131,88","72971,44"
46636,2JH0332,JUNTA HOMOCINETICA,AutoRepuestos Express,"67896,59","88265,57"
46637,2JH0336,JUNTA HOMOCINETICA,AutoRepuestos Express,"76278,54","99162,1"
46638,2JH0379,JUNTA HOMOCINETICA,AutoRepuestos Express,"66289,33","86176,13"
46639,2JH0380,JUNTA HOMOCINETICA,AutoRepuestos Express,"67369,65","87580,55"
46644,2JH0395,JUNTA HOMOCINETICA,AutoRepuestos Express,"65212,03","84775,64"
46646,2JH0403,JUNTA HOMOCINETICA,AutoRepuestos Express,"63411,45","82434,89"
46648,2JH0405,JUNTA HOMOCINETICA,AutoRepuestos Express,"74579,58","96953,45"
46649,2JH0420,JUNTA HOMOCINETICA,AutoRepuestos Express,"61258,55","79636,12"
46650,2JH0421,JUNTA HOMOCINETICA,AutoRepuestos Express,"51585,59","67061,27"
46651,2JH0422,JUNTA HOMOCINETICA,AutoRepuestos Express,"53357,11","69364,24"
46652,2JH0423,JUNTA HOMOCINETICA,AutoRepuestos Express,"53180,83","69135,08"
46653,2JH0424,JUNTA HOMOCINETICA,AutoRepuestos Express,"51243,14","66616,08"
46655,2JH0428,JUNTA HOMOCINETICA,AutoRepuestos Express,"50496,95","65646,04"
46656,2JH0429,JUNTA HOMOCINETICA,AutoRepuestos Express,"70121,4","91157,82"
46658,2JH0431,JUNTA HOMOCINETICA,AutoRepuestos Express,"55897,83","72667,18"
46660,2JH0435,JUNTA HOMOCINETICA,AutoRepuestos Express,"76223,95","99091,14"
46662,2JH0438,JUNTA HOMOCINETICA,AutoRepuestos Express,"52021,48","67627,92"
46663,2JH0439,JUNTA HOMOCINETICA,AutoRepuestos Express,"56703,78","73714,91"
46664,2JH0442,JUNTA HOMOCINETICA,AutoRepuestos Express,"68329,22","88827,99"
46665,2JH0445,JUNTA HOMOCINETICA,AutoRepuestos Express,"58839,98","76491,97"
46666,2JH0446,JUNTA HOMOCINETICA,AutoRepuestos Express,"51019,93","66325,91"
46667,2JH0449,JUNTA HOMOCINETICA,AutoRepuestos Express,"60144,97","78188,46"
46668,2JH0454,JUNTA HOMOCINETICA,AutoRepuestos Express,"57472,16","74713,81"
46669,2JH0455,JUNTA HOMOCINETICA,AutoRepuestos Express,"61361,38","79769,79"
46670,2JH0456,JUNTA HOMOCINETICA,AutoRepuestos Express,"63246,25","82220,13"
46671,2JH0457,JUNTA HOMOCINETICA,AutoRepuestos Express,"85033,22","110543,19"
46672,2JH0459,JUNTA HOMOCINETICA,AutoRepuestos Express,"63000,73","81900,95"
46674,2JH0471,JUNTA HOMOCINETICA,AutoRepuestos Express,"67536,79","87797,83"
46675,2JH0472,JUNTA HOMOCINETICA,AutoRepuestos Express,"87795,95","114134,74"
46677,2JH0479,JUNTA HOMOCINETICA,AutoRepuestos Express,"65165,64","84715,33"
46679,2JH0490,JUNTA HOMOCINETICA,AutoRepuestos Express,"71544,84","93008,29"
46681,2JH0493,JUNTA HOMOCINETICA,AutoRepuestos Express,"62249,43","80924,26"
46682,2JH0495,JUNTA HOMOCINETICA,AutoRepuestos Express,"65284,67","84870,07"
46683,2JH0499,JUNTA HOMOCINETICA,AutoRepuestos Express,"62893,15","81761,1"
46684,2JH0501,JUNTA HOMOCINETICA,AutoRepuestos Express,"73809,44","95952,27"
46685,2JH0502,JUNTA HOMOCINETICA,AutoRepuestos Express,"68771,57","89403,04"
46687,2JH0512,JUNTA HOMOCINETICA,AutoRepuestos Express,"74083,01","96307,91"
46688,2JH0513,JUNTA HOMOCINETICA,AutoRepuestos Express,"73286,54","95272,5"
46689,2JH0517,JUNTA HOMOCINETICA,AutoRepuestos Express,"71487,87","92934,23"
46690,2JH0518,JUNTA HOMOCINETICA,AutoRepuestos Express,"88368,78","114879,41"
46691,2JH0521,JUNTA HOMOCINETICA,AutoRepuestos Express,"69155,74","89902,46"
46692,2JH0525,JUNTA HOMOCINETICA,AutoRepuestos Express,"80548,59","104713,17"
46693,2JH0526,JUNTA HOMOCINETICA,AutoRepuestos Express,"76342,89","99245,76"
46694,2JH0529,JUNTA HOMOCINETICA,AutoRepuestos Express,"81950,73","106535,95"
46695,2JH0532,JUNTA HOMOCINETICA,AutoRepuestos Express,"77642,33","100935,03"
46698,2JH0535,JUNTA HOMOCINETICA,AutoRepuestos Express,"76737,96","99759,35"
46702,2JH0540,JUNTA HOMOCINETICA,AutoRepuestos Express,"83625,77","108713,5"
46703,2JH0549,JUNTA HOMOCINETICA,AutoRepuestos Express,"57841,38","75193,79"
46706,2JH0567,JUNTA HOMOCINETICA,AutoRepuestos Express,"53640,56","69732,73"
46707,2JH2043,JUNTA HOMOCINETICA,AutoRepuestos Express,"62969,99","81860,99"
46708,2JH5076,JUNTA HOMOCINETICA,AutoRepuestos Express,"66950,74","87035,96"
46709,2JH5118,JUNTA HOMOCINETICA,AutoRepuestos Express,"51686,97","67193,06"
46710,2JH9144,JUNTA HOMOCINETICA,AutoRepuestos Express,"80482,07","104626,69"
46763,3PF4008,PASTILLA DE FRENO PARA AUTOMOVIL,AutoRepuestos Express,"53419,05","69444,77"
46764,3PF6000,PASTILLA DE FRENO PARA AUTOMOVIL,AutoRepuestos Express,"70553,21","91719,17"
46767,4RR0015,MAZA,AutoRepuestos Express,"53739,7","69861,61"
46772,4RR0045,MAZA,AutoRepuestos Express,"66322,62","86219,41"
46773,4RR0052,RODAMIENTO RULEMAN,AutoRepuestos Express,"61717,91","80233,28"
46776,4RR0069,MAZA,AutoRepuestos Express,"59711,82","77625,37"
46778,4RR0073,RODAMIENTO RULEMAN,AutoRepuestos Express,"55565,11","72234,64"
46779,4RR0074,MAZA,AutoRepuestos Express,"59711,82","77625,37"
46780,4RR0089,RODAMIENTO RULEMAN,AutoRepuestos Express,"81041,69","105354,2"
46784,4RR0096,MAZA,AutoRepuestos Express,"68809,78","89452,71"
46787,4RR0121,MAZA,AutoRepuestos Express,"50874,57","66136,94"
46789,4RR0130,MAZA,AutoRepuestos Express,"59415,56","77240,23"
46797,4RR0153,RODAMIENTO RULEMAN,AutoRepuestos Express,"58890,2","76557,26"
46804,4RR0173,RODAMIENTO RULEMAN,AutoRepuestos Express,"83921,36","109097,77"
46805,4RR0175,RODAMIENTO RULEMAN,AutoRepuestos Express,"85493,98","111142,17"
46821,4RR0231,RODAMIENTO RULEMAN,AutoRepuestos Express,"74726,41","97144,33"
46824,4RR1024,RODAMIENTO RULEMAN,AutoRepuestos Express,"60253,4","78329,42"
46855,4RR3428,RODAMIENTO RULEMAN,AutoRepuestos Express,"76417,21","99342,37"
46860,4RR40784,RODAMIENTO RULEMAN,AutoRepuestos Express,"86601,75","112582,28"
46861,4RR40880M,RODAMIENTO RULEMAN,AutoRepuestos Express,"63670,09","82771,12"
46863,4RR41722,RODAMIENTO RULEMAN,AutoRepuestos Express,"55193,75","71751,88"
46866,4RR42177,RODAMIENTO RULEMAN,AutoRepuestos Express,"58730,72","76349,94"
46867,4RR428045,RODAMIENTO RULEMAN,AutoRepuestos Express,"50528,68","65687,28"
46876,4RR6502M,RODAMIENTO RULEMAN,AutoRepuestos Express,"50068,58","65089,15"
46879,4RR6746MK,RODAMIENTO RULEMAN,AutoRepuestos Express,"57237,33","74408,53"
47080,5RT2491,EXTREMO EXT. LARGO FORD F100 TIB,AutoRepuestos Express,"50261,55","65340,02"
47094,5RT2867,EXTREMO INT. LARGO FORD F100 / F150 / F250,AutoRepuestos Express,"78300,76","101790,99"
47147,5RT3523,EXTREMO INT. IZQ FORD F100 SUPER DUTY/ F150,AutoRepuestos Express,"50469,8","65610,74"
47148,5RT3524,EXTREMO INT. DER FORD F100 SUPER DUTY/ F150,AutoRepuestos Express,"71884,93","93450,41"
47174,5RT3822,EXTREMO DER LAND ROVER FREELANDER,AutoRepuestos Express,"51142,95","66485,84"
47175,5RT3823,EXTREMO IZQ LAND ROVER FREELANDER,AutoRepuestos Express,"51142,95","66485,84"
47275,6CZ5863,CAZOLETA DE AMORTIGUADOR,AutoRepuestos Express,"77435,46","100666,1"
47283,6CZ6803C,CAZOLETA DE AMORTIGUADOR,AutoRepuestos Express,"66515,98","86470,77"
47284,6CZ6815C,CAZOLETA DE AMORTIGUADOR,AutoRepuestos Express,"61065,98","79385,77"
47294,6CZ7567,CAZOLETA DE AMORTIGUADOR,AutoRepuestos Express,"59290,52","77077,68"
47298,6CZ7763,CAZOLETA DE AMORTIGUADOR,AutoRepuestos Express,"57868,53","75229,09"
47304,6CZ8625,CAZOLETA DE AMORTIGUADOR,AutoRepuestos Express,"81400,37","105820,48"
47309,6CZ8833DC,CAZOLETA DE AMORTIGUADOR,AutoRepuestos Express,"54681,66","71086,16"
47310,6CZ8833IC,CAZOLETA DE AMORTIGUADOR,AutoRepuestos Express,"54681,66","71086,16"
47316,6PR8006,PARRILLA,AutoRepuestos Express,"76287,6","99173,88"
47317,6PR8007,PARRILLA,AutoRepuestos Express,"76287,6","99173,88"
47319,6PR8011,PARRILLA,AutoRepuestos Express,"52024,59","67631,97"
47321,6PR8015,PARRILLA,AutoRepuestos Express,"61772,1","80303,73"
47327,6PR8034,PARRILLA,AutoRepuestos Express,"66225,68","86093,38"
47328,6PR8035,PARRILLA,AutoRepuestos Express,"83280,83","108265,08"
47332,6PR8047,PARRILLA,AutoRepuestos Express,"86446,53","112380,49"
47335,6PR8059,PARRILLA,AutoRepuestos Express,"53976,22","70169,09"
47338,6PR8070,BRAZO,AutoRepuestos Express,"67614,91","87899,38"
47339,6PR8071,PARRILLA,AutoRepuestos Express,"83221,1","108187,43"
47340,6PR8072,PARRILLA,AutoRepuestos Express,"83221,1","108187,43"
47343,6PR8084,PARRILLA,AutoRepuestos Express,"85633,78","111323,91"
47344,6PR8085,PARRILLA,AutoRepuestos Express,"85633,78","111323,91"
47348,6PR8090,PARRILLA,AutoRepuestos Express,"86758,82","112786,47"
47349,6PR8092,PARRILLA,AutoRepuestos Express,"80744,69","104968,1"
47350,6PR8093,PARRILLA,AutoRepuestos Express,"80744,69","104968,1"
47360,6PR8116,PARRILLA,AutoRepuestos Express,"89512,17","116365,82"
47361,6PR8117,PARRILLA,AutoRepuestos Express,"89512,17","116365,82"
47362,6PR8118,PARRILLA,AutoRepuestos Express,"57431,32","74660,72"
47363,6PR8119,PARRILLA,AutoRepuestos Express,"57431,32","74660,72"
47364,6PR8120,PARRILLA,AutoRepuestos Express,"55849,56","72604,43"
47365,6PR8121,PARRILLA,AutoRepuestos Express,"55849,56","72604,43"
47366,6PR8124,PARRILLA,AutoRepuestos Express,"77149,96","100294,95"
47367,6PR8125,PARRILLA,AutoRepuestos Express,"77149,96","100294,95"
47376,6PR8144,PARRILLA,AutoRepuestos Express,"58899,29","76569,08"
47377,6PR8147,PARRILLA,AutoRepuestos Express,"88323,16","114820,11"
